Abstracts of Papers, 221st ACS National Meeting, San Diego, CA, United States, April 1-5, 2001
Abstracts of Papers, 222nd ACS National Meeting, Chicago, IL, United States, August 26-30, 2001
Abstracts of Papers, 225th ACS National Meeting, New Orleans, LA, United States, March 23-27, 2003
Abstracts of Papers, 230th ACS National Meeting, Washington, DC, United States, Aug. 28-Sept. 1, 2005
Accounts of Chemical Research	Acc. Chem. Res.
Helvetica Chimica Acta	Helv. Chim. Acta
Heteroatom Chemistry	Heteroat. Chem
Heterocyclic Communications	Heterocycl. Commun.
Heterogeneous Chemistry Reviews	Heterogen. Chem. Rev.
High Energy Chemistry	High Energ. Chem.
High Performance Polymers	High Perform. Polym.
High Pressure Chemistry
High Temperature Material Processes	High Temp. Mater. Processes (New York)
High Temperature Materials and Processes	High Temp. Mater. Processes (London)
Holz als Roh und Werkstoff	Holz Roh Werkst.
Hoppe-Seyler's Zeitschrift fur Physiologische Chemie	Hoppe-Seyler's Z. Physiol. Chem.
HRC Journal of High Resolution Chromatography	HRC J. High Resolut. Chromatogr.
Hungarian Journal of Industrial Chemistry	Hung. J. Ind. Chem.
Hydrocarbon Processing, International Edition	Hydrocarbon Process., Int. Ed.
Hyperfine Interactions	Hyperfine Interact.
IEEE Sensors Journal	IEEE Sens. J.
Indian Journal of Biochemistry and Biophysics	Indian J. Biochem. Biophys.
Indian Journal of Chemical Technology	Indian J. Chem. Technol.
Indian Journal of Chemistry Section A: Inorganic, Bio-inorganic, Physical, Theoretical and Analytical Chemistry	Indian J. Chem., Sect A
Indian Journal of Chemistry Section B: Organic Chemistry including Medicinal Chemistry	Indian J. Chem., Sect B
Indian Journal of Engineering and Materials Science	Indian J. Eng. Mater. Sci.
Indian Journal of Heterocyclic Chemistry	Indian J. Heterocycl. Chem.
Indian Journal of Pure and Applied Physics	Indian J. Pure Appl. Phys.
Indian Journal of Technology	Indian J. Technol.
Industrial and Engineering Chemistry	Ind. Eng. Chem.
Industrial and Engineering Chemistry Fundamentals	Ind. Eng. Chem. Fundam.
Industrial and Engineering Chemistry Research	Ind. Eng. Chem. Res.
Industrial Diamond Review	Ind. Diamond Rev.
Infrared Physics and Technology	Infrared Phys. Technol.
Ingeniera Quimica (Madrid)	Ing. Quim.
Inorganic Chemistry	Inorg. Chem.
Inorganic Chemistry Communications	Inorg. Chem. Commun.
Inorganic Materials	Inorg. Mater.
Inorganic Reaction Mechanisms	Inorg. React. Mech.
Inorganic Syntheses	Inorg. Synth.
Inorganica Chimica Acta	Inorg. Chim. Acta
Insect Biochemisry and Molecular Biology	Insect Biochem. Mol. Biol.
Instrumentation Science and Technology	Instrum Sci. Technol.
Interface Science	Interface Sci.
International Biodeterioration and Biodegradation	Int. Biodeterior. Biodegrad.
International DATA Series, Selected Data on Mixtures, Series A	Int. DATA Ser., Sel. Data Mixtures, Ser. A
International Journal for Numerical Methods in Fluids	Int. J. Numer. Methods Fluids
International Journal of Adhesion and Adhesives	Int. J. Adhes. Adhes.
International Journal of Biochemistry	Int. J. Biochem.
International Journal of Biochemistry and Cell Biology	Int. J. Biochem. Cell Biol.
International Journal of Biochromatography	Int. J. Bio-Chromatogr.
International Journal of Biological Macromolecules	Int. J. Biol. Macromol.
International Journal of Cast Metals Research	Int. J. Cast Met. Res.
International Journal of Chemical Kinetics	Int. J. Chem. Kinet.
International Journal of Environment Analytical Chemistry	Int. J. Environ. Anal. Chem.
International Journal of Fatigue	Int. J. Fatigue
International Journal of Heat and fluid flow	Int. J. Heat Fluid Flow
International Journal of Heat and Mass Transfer	Int. J. Heat Mass Transfer
International Journal of Hydrogen Energy	Int. J. Hydrogen Energy
International Journal of Immunopharmacology	Int. J. Immunopharmacol
International Journal of Inorganic Materials	Int. J. Inorg. Mater.
International Journal of Mass Spectrometry	Int. J. Mass spectrom.
International Journal of Mass Spectrometry and Ion Processes	Int. J. Mass Spectrom. Ion Processes
International Journal of Mineral Processing	Int. J. Miner. Process.
International Journal of Modern Physics B	Int. J. Mod Phys B
International Journal of Multiphase Flow	Int. J. Multiphase Flow
International Journal of Oncology	Int. J. Oncol.
International Journal of Peptide and Protein Research	Int. J. Pept. Protein Res.
International Journal of Pharmaceutics	Int. J. Pharm.
International Journal of Phytoremediation	Int. J. Phytorem.
International Journal of Plasticity	Int. J. Plast.
International Journal of Polymer Analysis and Characterization	Int. J. Polym. Anal. Charact.
International Journal of Polymeric Materials	Int. J. Polymer. Mater.
International Journal of Powder Metallurgy	Int. J. Powder Metall.
International Journal of Quantum Chemistry	Int. J. Quantum Chem
International Journal of Radiation Biology	Int. J. Radiat Biol.
International Journal of Refractory Metals and Hard Materials	Int. J. Refract. Met. Hard Mater.
International Journal of Self-Propagating High-Temperature Synthesis	Int. J. Self-Propag. High-Temp Synth.
International Journal of Thermophysics	Int. J. Thermophys.
International Materials Reviews	Int. Mater. Rev.
International Polymer Processing	Int. Polym. Proc.
International Reviews in Physical Chemistry	Int. Rev. Phys. Chem.
Internet Journal of Chemistry	Internet J. Chem.
Internet Journal of Vibrational Spectroscopy	Internet J. Vib. Spectro.
Inzynieria Chemiczna i Procesowa	Inz. Chem. Procesowa
Ironmaking and Steelmaking	Ironmaking Steelmaking
ISIJ International	ISIJ Int.
Israel Journal of Chemistry	Isr. J. Chem.
Japanese Journal of Applied Physics Part 1	Jpn. J. Appl. Phys., Part 1
Japanese Journal of Applied Physics Part 2	Jpn. J. Appl. Phys., Part 2
Japanese Journal of Cancer Research	Jpn. J. Cancer Res.
Japanese Journal of Pharmacology	Jpn. J. Pharmacol.
Japanese Journal of Toxicology and Environment Health	Jpn. J. Toxicol. Environ. Health
JOM Journal of the Minerals Metals and Materials Society	JOM
Journal de Chimie Physique et de Physico-Chimie Biologique	J. Chim. Phys. Phys.- Chim. Biol.
Journal de Physique I	J. Phys. I
Journal de Physique II	J. Phys. II
Journal de Physique III	J. Phys. III
Journal de Physique IV	J. Phys. IV
Journal fuer Praktische Chemie (Weinheim, Germany)	J. Prakt. Chem.
Journal fur Praktische Chemie - Chemiker Zeitung	J. Prakt. Chem. /Chem-Ztg
Journal of Adhesion	J. Adhes.
Journal of Adhesion Science and Technology	J. Adhes. Sci. Technol.
Journal of Advanced Materials	J. Adv. Mater.
Journal of Aerosol Science	J. Aerosol Sci
Journal of Agricultural and Food Chemistry	J. Agric. Food. Chem.
Journal of Alloys and Compounds	J. Alloys Compd.
Journal of Analytical and Applied Pyrolysis	J. Anal. Appl. Pyrolysis
Journal of Analytical Atomic Spectrometry	J. Anal. At. Spectrom.
Journal of Analytical Chemistry	J. Anal. Chem.
Journal of Analytical Toxicology	J. Anal. Toxicol.
Journal of Antibiotics	J. Antibiot.
Journal of Antimicrobial Chemotherapy	J. Antimicrob. Chemother.
Journal of AOAC International	J. AOAC Int.
Journal of Applied Bacteriology	J. Appl. Bacteriol.
Journal of Applied Biomaterials	J. Appl. Biomater.
Journal of Applied Crystallography	J. Appl. Crystallogr.
Journal of Applied Electrochemistry	J. Appl. Electrochem.
Journal of Applied Phycology	J. Appl. Phycol.
Journal of Applied Physics	J. Appl. Phys.
Journal of Applied Polymer Science	J. Appl. Polym. Sci.
Journal of Applied Spectroscopy	J. Appl. Spectrosc.
Journal of Applied Toxicology	J. Appl. Toxicol.
Journal of Asian Natural Products Research	J. Asian Nat. Prod. Res.
Journal of Automated Methods & Management in Chemistry	J. Autom. Methods Manage. Chem.
Journal of Automatic Chemistry	J. Autom. Chem.
Journal of Bacteriology	J. Bacteriol.
Journal of Bioactive and Bompatible Polymers	J. Bioact. Compat. Polym.
Journal of Biochemical and Biophysical Methods	J. Biochem. Bioph. Methods
Journal of Biochemistry	J. Biochem.
Journal of Biological Chemistry	J. Biol. Chem.
Journal of Biological Inorganic Chemistry	J. Biol. Inorg. Chem.
Journal of Bioluminescence and Chemiluminescence	J. Biolumin. Chemilumin.
Journal of Biomaterials Applications	J. Biomater. Appl.
Journal of Biomaterials Science Polymer Edition	J. Biomater. Sci., Polym. Ed.
Journal of Biomedial Materials Research	J. Biomed. Mater. Res.
Journal of Biomolecular NMR	J. Biomol. NMR
Journal of Biomolecular Structure and Dynamics	J. Biomol. Struct. Dyn.
Journal of Biotechnology	J. Biotechnol.
Journal of Canadian Petroleum Technology	J. Can. Pet. Technol.
Journal of Carbohydrate Chemistry	J. Carbohydr. Chem.
Journal of Cardiovascular Pharmacology	J. Cardiovasc. Pharmacol.
Journal of Catalysis	J. Catal.
Journal of Cell Biology	J. Cell Biol.
Journal of Cell Science	J. Cell Sci.
Journal of Cellular Biochemistry	J. Cell. Biochem.
Journal of Cellular Physiology	J. Cell. Physiol.
Journal of Chemical and Engineering Data	J. Chem. Eng. Data
Journal of Chemical Crystallography	J. Chem. Crystallogr.
Journal of Chemical Ecology	J. Chem. Ecol.
Journal of Chemical Education	J. Chem. Educ.
Journal of Chemical Engineering of Japan	J. Chem. Eng. Jpn.
Journal of Chemical Information and Computer Science	J. Chem. Inf. Comput. Sci.
Journal of Chemical Neuroanatomy	J. Chem. Neuroanat.
Journal of Chemical Physics	J. Chem. Phys.
Journal of Chemical Research Synopsis	J. Chem. Res., Synop .
Journal of Chemical Technology and Biotechnology	J. Chem. Technol. Biotechnol.
Journal of Chemical Thermodynamics	J. Chem. Thermodyn.
Journal of Chemometrics	J. Chemom.
Journal of Chromatographic Science	J. Chromatogr. Sci.
Journal of Chromatography	J. Chromatogr.
Journal of Chromatography A	J. Chromatogr. A
Journal of Chromatography B	J. Chromatogr. B
Journal of Clinical Endocrinology and Metabolism	J. Clin. Endocrinol. Metab.
Journal of Clinical Microbiology	J. Clin. Microbiol.
Journal of Cluster Science	J. Cluster Sci.
Journal of Coatings Technology	J. Coat. Technol.
Journal of Colloid and Interface Science	J. Colloid Interface Sci.
Journal of Combinatorial Chemistry	J. Comb. Chem.
Journal of Composite Materials	J. Compos. Mater.
Journal of Composites Technology and Research	J. Compos. Tech. Res.
Journal of Computational Chemistry	J. Comput. Chem.
Journal of Computer-Aided Materials Design	J. Comput. Aided Mater. Des.
Journal of Computer-Aided Molecular Design	J. Comput. Aided Mol. Des.
Journal of Contaminant Hydrology	J. Contam. Hydrol.
Journal of Controlled Release	J. Controlled Release
Journal of Coordination Chemistry	J. Coord. Chem.
Journal of Crystal Growth	J. Cryst. Growth
Journal of Dairy Science	J. Dairy Sci.
Journal of Dispersion Science and Technology	J. Dispersion Sci. Technol.
Journal of Elastomers and Plastics	J. Elastomers Plast.
Journal of Electroanalytical Chemistry	J. Electroanal. Chem.
Journal of Electroceramics	J. Electroceram.
Journal of Electron Microscopy	J. Electron Microsc.
Journal of Electron Spectroscopy and Related Phenomena	J. Electron. Spectrosc. Relat. Phenom.
Journal of Electronic Materials	J. Electron. Mater.
Journal of Endocrinology	J. Endocrinol.
Journal of Endotoxin Research	J. Endotoxin Res.
Journal of Engineering Materials and Technology	J. Eng. Mater. Technol.
Journal of Environment Biology	J. Environ. Biol.
Journal of Environment Engineering	J. Environ. Eng.
Journal of Environment Health	J. Environ. Health
Journal of Environment Management	J. Environ. Manage.
Journal of Environment Quality	J. Environ. Qual.
Journal of Environment Radioactivity	J. Environ. Radioact.
Journal of Environment Science and Health, Part A Environmental Science	J. Environ. Sci. Health., Part A
Journal of Environment Science and Health, Part B Pesticides	J. Environ. Sci. Health., Part B
Journal of Environmental Monitoring	J. Environ. Monit.
Journal of Enzyme Inhibition	J. Enzym Inhib.
Journal of Essential Oil Research	J. Essent. Oil Res.
Journal of Ethnopharmacology	J. Ethnopharmacol.
Journal of Experimental Biology	J. Exp. Biol.
Journal of Experimental Botany	J. Exp. Bot.
Journal of Exposure Analysis and Environment Epidemiology	J. Exposure Anal. Environ. Epidemiol.
Journal of Fermentation and Bioengineering	J. Ferment. Bioeng.
Journal of Fire Sciences	J. Fire Sci.
Journal of Fluid Mechanics	J. Fluid Mech.
Journal of Fluids Engineering	J. Fluids Eng.
Journal of Fluorine Chemistry	J. Fluorine Chem.
Journal of Food Biochemistry	J. Food Biochem.
Journal of Food Engineering	J. Food Eng.
Journal of Food Lipids	J. Food Lipids
Journal of Food Protection	J. Food Prot.
Journal of Food Science	J. Food Sci.
Journal of General and Applied Microbiology	J. Gen. Appl. Microbiol.
Journal of General Microbiology	J. Gen. Microbiol.
Journal of Hazardous materials	J. Hazard. Mater.
Journal of Heat Transfer	J. Heat Transfer
Journal of Heterocyclic Chemistry	J. Heterocycl. Chem.
Journal of High Resolution Chromatography	J. High. Resolut. Chromatogr.
Journal of Histochemistry and Cytochemistry	J. Histochem. Cytochem.
Journal of Hypertension	J. Hypertens.
Journal of Imaging Science and Technology	J. Imaging Sci. Technol.
Journal of Inclusion Phenomena and Molecular Recognition in Chemistry	J. Inclusion Phenom. Mol. Recognit. Chem.
Journal of Industrial Microbiology	J. Ind. Microbiol.
Journal of Industrial Microbiology and Biotechnology	J. Ind. Microbiol. Biotechnol.
Journal of Inorganic and Nuclear Chemistry	J. Inorg. Nucl. Chem.
Journal of Inorganic and Organometallic Polymers	J. Inorg. Organomet. Polym.
Journal of Inorganic Biochemistry	J. Inorg. Biochem.
Journal of Institute of Chemists (India)	J. Inst. Chem.
Journal of Intelligent Material Systems and Structures	J. Intell. Mater. Syst. Struct.
Journal of Interferon and Cytokine Research	J. Interferon Cytokine Res.
Journal of Interferon Research	J. Interferon Res.
Journal of Labelled Compounds and Radiopharmaceuticals	J. Labelled Compd. Radiopharm.
Journal of Lipid Mediators	J. Lipid Mediators
Journal of Lipid Mediators and Cell Signalling	J. Lipid Mediators Cell Signalling
Journal of Lipid Research	J. Lipid Res.
Journal of Liquid Chromatography	J. Liq. Chromatogr.
Journal of Liquid Chromatography and Related Technologies	J. Liq. Chromatogr. Related Technol.
Journal of Low Temperature Physics	J. Low Temp. Phys.
Journal of Luminescence	J. Lumin.
Journal of Macromolecular Science - Physics	J. Macromol. Sci., Phys.
Journal of Macromolecular Science - Reviews in Macromolecular Chemistry and Physics	J. Macromol. Sci., Rev. Macromol. Chem. Phys.
Journal of Macromolecular Science Polymer Reviews	J. Macromol. Sci., Polym. Rev.
Journal of Macromolecular Science Pure and Applied Chemistry	J. Macromol. Sci., Pure Appl. Chem.
Journal of Magnetic Resonance Series A	J. Magn. Reson., Ser A
Journal of Magnetic Resonance Series B	J. Magn. Reson., Ser B
Journal of Magnetism and Magnetic Materials	J. Magn. Magn. Mater.
Journal of Mass Spectrometry	J. Mass Spectrom.
Journal of Material Cycles and Waste Management	J. Mater. Cycles Waste Manage.
Journal of Materials Chemistry	J. Mater. Chem.
Journal of Materials Engineering and Performance	J. Mater. Eng. Perform.
Journal of Materials in Civil Engineering	J. Mater. Civ. Eng.
Journal of Materials Processing and Manufacturing Science	J. Mater. Process. Manuf. Sci.
Journal of Materials Processing Technology	J. Mater. Process. Technol.
Journal of Materials Research	J. Mater. Res.
Journal of Materials Science - Materials in Electronics	J. Mater. Sci. - Mater. Electron.
Journal of Materials Science and Technology	J. Mater. Sci. Technol.
Journal of Materials Science Letters	J. Mater. Sci. Lett.
Journal of Materials Science Materials in Medicine	J. Mater. Sci. - Mater. Med.
Journal of Materials Synthesis and Processing	J. Mater. Synth. Process.
Journal of Mathematical Chemistry	J. Math. Chem.
Journal of Medicinal Chemistry	J. Med. Chem.
Journal of Membrance Science	J. Membr. Sci.
Journal of Membrane Biology	J. Membr. Biol.
Journal of Microbiological Methods	J. Microbiol. Methods
Journal of Microbiology and Biotechnology	J. Microbiol. Biotechnol.
Journal of Microcolumn Separations	J. Microcolumn Sep.
Journal of Microelectronic Systems	J. Microelectromech. Syst.
Journal of Microencapsulation	J. Microencapsulation
Journal of Molecular Biology	J. Mol. Biol.
Journal of Molecular Catalysis	J. Mol. Catal.
Journal of Molecular Catalysis A: Chemical	J. Mol. Catal. A: Chem.
Journal of Molecular Catalysis B: Enzymatic	J. Mol. Catal. B: Enzym.
Journal of Molecular Graphics and Modelling	J. Mol. Graphics Modell.
Journal of Molecular Liquids	J. Mol. Liq.
Journal of Molecular Microbiology and Biotechnology	J. Mol. Microbiol. Biotechnol.
Journal of Molecular Modeling	J. Mol. Model.
Journal of Molecular Spectroscopy	J. Mol. Spectrosc.
Journal of Molecular Structure	J. Mol. Struct.
Journal of Nanoparticle Research	J. Nanopart. Res.
Journal of Natural Products	J. Nat. Prod.
Journal of Near Infrared Spectroscopy	J. Near Infrared Spectrosc.
Journal of Neurochemistry	J. Neurochem.
Journal of Neuroscience	J. Neurosci.
Journal of Neuroscience Research	J. Neurosci. Res.
Journal of New Materials for Electrochemical Systems	J. New Mater. Electrochem. Syst.
Journal of Non-Crystalline Solids	J. Non-Cryst. Solids
Journal of Non-Equilibrium Thermodynamics	J. Non-Equilib. Thermodyn.
Journal of Nuclear Materials	J. Nucl. Mater.
Journal of Nuclear Science and Technology	J. Nucl. Sci. Technol.
Journal of Organic Chemistry	J. Org. Chem.
Journal of Organometallic Chemistry	J. Organomet. Chem.
Journal of Peptide Science	J. Pept. Sci.
Journal of Petroleum Science and Technology	J. Pet. Sci. Technol.
Journal of Pharmaceutical and Biomedical Analysis	J. Pharm. Biomed. Anal.
Journal of Pharmaceutical Sciences	J. Pharm. Sci.
Journal of Pharmacological and Toxicological Methods	J. Pharmacol. Toxicol. Methods
Journal of Pharmacology and Experimental Therapeutics	J. Pharmacol. Exp. Ther.
Journal of Pharmacy and Pharmacology	J. Pharm. Pharmacol.
Journal of Phase Equilibrium	J. Phase Equilib.
Journal of Photochemistry and Photobiology A	J. Photochem. Photobiol., A
Journal of Photochemistry and Photobiology B	J. Photochem. Photobiol., B
Journal of Photopolymer Science and Technology	J. Photopolym. Sci. Technol.
Journal of Physical and Chemical Reference Data	J. Phys. Chem. Ref. Data
Journal of Physical Chemistry	J. Phys. Chem.
Journal of Physical Chemistry A	J. Phys. Chem. A
Journal of Physical Chemistry B	J. Phys. Chem. B
Journal of Physical Organic Chemistry	J. Phys. Org. Chem.
Journal of Physics A: Mathematical and General	J. Phys. A: Math. Gen.
Journal of Physics and Chemistry of Solids	J. Phys. Chem. Solids
Journal of Physics B: Atomic Molecular and Optical Physics	J. Phys. B: At., Mol. Opt. Phys.
Journal of Physics D: Applied Physics	J. Phys. D: Appl. Phys.
Journal of Physics G: Nuclear and Particle Physics	J. Phys. G: Nucl. Part. Phys.
Journal of Physics: Condensed Matter	J. Phys.: Condens. Matter
Journal of Planar Chromatography - Modern TLC	J. Planar. Chromatogr. - Mod. TLC
Journal of Plant Biochemistry and Biotechnology	J. Plant Biochem. Biotechnol.
Journal of Polymer Engineering	J. Polym. Eng.
Journal of Polymer Materials	J. Polym. Mater.
Journal of Polymer Science Part A: Polymer Chemistry	J. Polym. Sci., Part A: Polym. Chem.
Journal of Polymer Science Part B: Polymer Physics	J. Polym. Sci., Part B: Polym. Phys.
Journal of Polymers and the Environment	J. Polym. Environ.
Journal of Porous Materials	J. Porous Mater.
Journal of Porphyrins and Phthalocyanines	J. Porphyrins Phthalocyanines
Journal of Power Sources	J. Power Sources
Journal of Propulsion and Power	J. Propul. Power
Journal of Protein Chemistry	J. Protein Chem.
Journal of Pulp and Paper Science	J. Pulp Pap. Sci.
Journal of Quantitative Spectroscopy and Radiative Transfer	J. Quant. Spectrosc. Radiat. Transfer
Journal of Radioanalytical and Nuclear Chemistry	J. Radioanal. Nucl. Chem.
Journal of Radioanalytical and Nuclear Chemistry Articles	J. Radioanal. Nucl. Chem. Art.
Journal of Radioanalytical and Nuclear Chemistry Letters	J. Radioanal. Nucl. Chem. Lett.
Journal of Raman Specroscopy	J. Raman Spectrosc.
Journal of Rapid Methods and Automation in Microbiology	J. Rapid Methods Autom. Microbiol.
Journal of Reinforced Plastics and Composites	J. Reinf. Plast. Compos.
Journal of Rheology	J. Rheol.
Journal of Scientific and Industrial Research	J. Sci. Ind. Res.
Journal of Separation Science	J. Sep. Sci.
Journal of Sol-Gel Science and Technology	J. Sol-Gel Sci. Technol.
Journal of Solid State Chemistry	J. Solid State Chem.
Journal of Solid State Electrochemistry	J. Solid State Electrochem.
Journal of Solution Chemistry	J. Solution Chem.
Journal of Steroid Biochemistry and Molecular Biology	J. Steroid Biochem. Mol. Biol.
Journal of Strain Analysis for Engineering Design	J. Strain Anal. Eng. Des.
Journal of Structural Chemistry	J. Struct. Chem.
Journal of Supercritical Fluids	J. Supercrit. Fluids
Journal of Synthetic Organic Chemistry, Japan	J. Synth. Org. Chem Jpn.
Journal of Testing and Evaluation	J. Test. Eval.
Journal of the Air and Waste Management Association	J. Air Waste Manage. Assoc.
Journal of the American Ceramic Society	J. Am. Ceram. Soc.
Journal of the American Chemical Society	J. Am. Chem. Soc.
Journal of the American Chemical Society	JACS
Journal of the American Oil Chemists Society	J. Am. Oil Chem. Soc.
Journal of the American Society for Mass Spectrometry	J. Am. Soc. Mass. Spectrom.
Journal of the American Society of Brewing Chemists	J. Am. Soc. Brew. Chem.
Journal of the Ceramic Society of Japan	J. Ceram. Soc. Jpn.
Journal of the Chemical Society	J. Chem. Soc.
Journal of the Chemical Society of Pakistan	J. Chem. Soc. Pak.
Journal of the Chemical Society, Chemical Communications	J. Chem. Soc., Chem. Commun.
Journal of the Chemical Society, Dalton Transactions	J. Chem. Soc., Dalton Trans.
Journal of the Chemical Society, Faraday Transactions	J. Chem. Soc., Faraday Trans.
Journal of the Chemical Society, Perkin Transactions 1	J. Chem. Soc., Perkin Trans. 1
Journal of the Chemical Society, Perkin Transactions 2	J. Chem. Soc., Perkin Trans. 2
Journal of the Chemical Society, Perkin Transactions 2: Physical Organic Chemistry	J. Chem. Soc. Perk. Trans. 2
Journal of the Chemical Society, Perkin Transactions 2: Physical Organic Chemistry	J. Chem. Soc., Perk. Trans. 2
Journal of the Chinese Chemical Society	J. Chin. Chem. Soc.
Journal of the Chinese Institute of Chemical Engineers	J. Chin. Inst. Chem. Eng,
Journal of the Electrochemical Society	J. Electrochem. Soc.
Journal of the European Ceramic Society	J. Eur. Ceram. Soc.
Journal of the Indian Chemical Society	J. Indian Chem. Soc.
Journal of the Institute of Environment Sciences	J. Inst. Environ. Sci.
Journal of the Institution of Water and Environment Management	J. Inst. Water Environ. Manage.
Journal of the Japan Institute of Metals	J. Jpn. Inst. Met.
Journal of the Korean Chemical Society	J. Korean Chem. Soc.
Journal of the Optical Society of America B: Optical Physics	J. Opt. Soc. Am. B: Opt. Phys.
Journal of the Physical Society of Japan	J. Phys. Soc. Jpn.
Journal of the Science of Food and Agriculture	J. Sci. Food Agric.
Journal of the Serbian Chemical Society	J. Serb. Chem. Soc.
Journal of the South African Institute of Mining and Metallurgy	J. S. Afr. Inst. Min. Metall.
Journal of Thermal Analysis	J. Therm. Anal.
Journal of Thermal Analysis and Calorimetry	J. Therm. Anal. Calorim.
Journal of Thermal Spray Technology	J. Therm. Spray Technol.
Journal of Thermophysics and Heat Transfer	J. Thermophys Heat Transfer
Journal of Thermoplastic Composite Materials	J. Thermoplast. Compos. Mater.
Journal of Toxicology - Clinical Toxicology	J. Toxicol., Clin. Toxicol.
Journal of Toxicology - Cutaneous and Ocular Toxicology	J. Toxicol., Cutaneous Ocul. Toxicol.
Journal of Toxicology - Toxin Reviews	J. Toxicol., Toxin Rev.
Journal of Toxicology and Environment Health	J. Toxicol. Environ. Health
Journal of Trace and Microprobe Techniques	J. Trace Microprobe Tech.
Journal of Trace Elements in Experimental Medicine	J. Trace Elem. Exp. Med.
Journal of Trace Elements in Medicine and Biology	J. Trace Elem. Med Biol.
Journal of Vacuum Science and Technology A	J. Vac. Sci. Technol., A
Journal of Vacuum Science and Technology B	J. Vac. Sci. Technol., B
Journal of Wood Chemistry and Technology	J. Wood Chem. Technol.
JPC Journal of Planar Chromatography Modern TLC	JPC J. Planar Chromatogr. - Mod. TLC
JSME International Journal Series A: Mechanics and Material Engineering	JSME Int J., Ser. A
JSME International Journal Series B: Fluids and Thermal Engineering	JSME Int J., Ser. B
JSME International Journal Series C: Mechanical Systems Machine Elements and Manufacturing	JSME Int J., Ser. C
Kautschuk Gummi Kunststoffe	Kautsch. Gummi Kunstst.
Key Engineering Materials	Key Eng. Mater.
Khimicheskaya Fizika	Khim. Fiz.
Kinetics and Catalysis	Kinet. Catal.
Kinetika i Kataliz	Kinet. Katal.
Koatsuryoku no Kagaku to Gijutsu
Kolloidn Zhurnal	Kolloidn Zh
Koordinatsionnaya Khimiya	Koord. Khim.
Korean Journal of Chemical Engineering	Korean J. Chem. Eng.
Kovove Materialy Metallic Materials	Kovove Mater.
Laboratory Automation and Information Management	Lab. Autom. Inf. Manage.
Laboratory Investigation	Lab. Invest.
Laboratory Robotics and Automation	Lab. Rob. Autom.
Laser Chemistry	Laser Chem.
LC-GC The Magazine of Separation Science	LC-GC
Letters in Applied Microbiology	Lett. Appl. Microbiol.
Letters in Peptide Science	Lett. Pept. Sci.
Liebigs Annalen - Recueil	Liebigs Ann. Recl.
Liebigs Annalen der Chemie	Liebigs Ann. Chem.
Life Sciences	Life Sci.
Liquid Crystals	Liq. Cryst.
Lubrication Engineering	Lubr. Eng.
Lubrication Science	Lubr. Sci.
Macromolecular Chemistry and Physics	Macromol. Chem. Phys.
Macromolecular Rapid Communications	Macromol. Rapid Commun.
Macromolecular Symposium	Macromol. Symp.
Macromolecular Theory and Simulations	Macromol. Theory Simul.
Magnetic Resonance in Chemistry	Magn. Reson. Chem.
Magnetic Resonance Materials in Physics, Biology and Medicine	Magn. Reson. Mater. Phys., Biol. Med.
Magyar Kemiai Folyoirat	Magy. Kem. Foly.
Main Group Chemistry	Main Group Chem.
Main Group Metal Chemistry	Main Group Met. Chem.
Manufacturing Chemist	Manuf. Chem.
Marine Biology	Mar. Biol.
Marine Biotechnology	Mar. Biotechnol.
Marine Chemistry	Mar. Chem.
Marine Environment Research	Mar. Environ. Res.
Marine Pollutution Bulletin	Mar. Pollut. Bull.
Mass Spectrometry Reviews	Mass Spectrom. Rev.
Materials and Corrosion	Mater. Corros.
Materials and Design	Mater. Des.
Materials and Manufacturing Processes	Mater. Manuf. Processes
Materials and Organisms	Mater. Org.
Materials and Structures	Mater. Struct.
Materials at High Temperatures	Mater. High Temp.
Materials Characterization	Mater. Charact.
Materials Chemistry and Physics	Mater. Chem. Phys.
Materials Evaluation	Mater. Eval.
Materials Forum	Mater. Forum
Materials Letters	Mater. Lett.
Materials Performance	Mater. Performance
Materials Research Bulletin	Mater. Res. Bull.
Materials Research Innovations	Mater. Res. Innovations
Materials Science	Mater. Sci.
Materials Science and Engineering A	Mater. Sci. Eng., A
Materials Science and Engineering B	Mater. Sci. Eng., B
Materials Science and Engineering C	Mater. Sci. Eng., C
Materials Science and Engineering Reports	Mater. Sci. Eng., R
Materials Science and Technology	Mater. Sci. Technol.
Materials Science Forum	Mater. Sci. Forum
Materials Science in Semiconductor Processing	Mater. Sci. Semicond. Process.
Materials Science Research International	Mater. Sci. Res. Int.
Materials Today	Mater. Today
Materials Transactions, JIM	Mater. Trans., JIM
Materialwissenschaft und Werkstofftechnik	Materialwiss. Werkstofftech.
Matrix Biology	Matrix Biol.
Measurement Science and Technology	Meas. Sci. Technol.
Mechanics of Composite Materials	Mech. Compos. Mater.
Mechanics of Composite Materials and Structures	Mech. Compos. Mater. Struct.
Mechanics of Materials	Mech. Mater.
Mechanics of Time Dependent Materials	Mech. Time-Depend. Mater.
Medicinal Chemistry Research	Med. Chem. Res.
Mendeleev Communications	Mendeleev Commun.
Metabolic Engineering	Metab. Eng.
Metal Ions in Biological Systems	Met. Ions Biol. Syst.
Metal Science and Heat Treatment	Met. Sci. Heat Treat.
Metal-Based Drugs	Met.-Based Drugs
Metallovedenie i Termicheskaya Obrabotka Metallov	Metalloved. Term. Obrab. Met.
Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science	Metall. Mater. Trans. A
