AACN Clinical Issues	AACN Clin. Issues	AACN Clin Issues	
Annali dell Ospedale Maria Vittoria di Torino	Ann. Osp. Maria Vittoria Torino	Ann Osp Maria Vittoria Torino	
Annali della Sanita Pubblica	Ann. Sanita Pubblica	Ann Sanita Pubblica	
Annali di Igiene	Ann. Ig.	Ann Ig	
Annali di Laringologia, Otologia, Rinologia, Faringologia	Ann. Laringol. Otol. Rinol. Faringol.	Ann Laringol Otol Rinol Faringol	
Annali di Medicina Navale	Ann. Med. Nav. (Roma).	Ann Med Nav (Roma)	
Annali di Ostetricia, Ginecologia, Medicina Perinatale	Ann. Ostet. Ginecol. Med. Perinat.	Ann Ostet Ginecol Med Perinat	
Annali di Ottalmologia e Clinica Oculistica	Ann. Ottalmol. Clin. Ocul.	Ann Ottalmol Clin Ocul	
Annali di Radiologia Diagnostica	Ann. Radiol. Diagn. (Bologna).	Ann Radiol Diagn (Bologna)	
Annali di Stomatologia	Ann. Stomatol. (Roma).	Ann Stomatol (Roma)	
Annali Italiani di Chirurgia	Ann. Ital. Chir.	Ann Ital Chir	
Annali Italiani di Medicina Interna	Ann. Ital. Med. Int.	Ann Ital Med Int	
Annali Sclavo	Ann. Sclavo	Ann Sclavo	
Annali Sclavo. Collana Monografica	Ann. Sclavo. Collana Monogr.	Ann Sclavo Collana Monogr	
Annals of Agricultural and Environmental Medicine	Ann. Agric. Environ. Med.	Ann Agric Environ Med	Annals of Agricultural & Environmental Medicine
Annals of Allergy	Ann. Allergy	Ann Allergy	
Annals of Allergy, Asthma, and Immunology	Ann. Allergy. Asthma. Immunol.	Ann Allergy Asthma Immunol	Annals of Allergy, Asthma, & Immunology
Annals of Applied Biology	Ann. Appl. Biol.	Ann Appl Biol	
Annals of Behavioral Medicine	Ann. Behav. Med.	Ann Behav Med	
Annals of Biomedical Engineering	Ann. Biomed. Eng.	Ann Biomed Eng	
Annals of Clinical and Laboratory Science	Ann. Clin. Lab. Sci.	Ann Clin Lab Sci	Annals of Clinical & Laboratory Science
Annals of Clinical Biochemistry	Ann. Clin. Biochem.	Ann Clin Biochem	
Annals of Clinical Laboratory Science	Ann. Clin. Lab. Sci.	Ann Clin Lab Sci	
Annals of Clinical Psychiatry	Ann. Clin. Psychiatry	Ann Clin Psychiatry	
Annals of Clinical Research	Ann. Clin. Res.	Ann Clin Res	
Annals of Dentistry	Ann. Dent.	Ann Dent	
Annals of Diagnostic Pathology	Ann. Diagn. Pathol.	Ann Diagn Pathol	
Annals of Emergency Medicine	Ann. Emerg. Med.	Ann Emerg Med	
Annals of Epidemiology	Ann. Epidemiol.	Ann Epidemiol	
Annals of Health Law	Ann. Health Law	Ann Health Law	
Annals of Hematology	Ann. Hematol.	Ann Hematol	
Annals of Human Biology	Ann. Hum. Biol.	Ann Hum Biol	
Annals of Human Genetics	Ann. Hum. Genet.	Ann Hum Genet	
Annals of Internal Medicine	Ann. Intern. Med.	Ann Intern Med	
Annals of Medicine	Ann. Med.	Ann Med	
Annals of Neurology	Ann. Neurol.	Ann Neurol	
Annals of Nuclear Medicine	Ann. Nucl. Med.	Ann Nucl Med	
Annals of Nutrition and Metabolism	Ann. Nutr. Metab.	Ann Nutr Metab	Annals of Nutrition & Metabolism
Annals of Occupational Hygiene	Ann. Occup. Hyg.	Ann Occup Hyg	
Annals of Oncology	Ann. Oncol.	Ann Oncol	
Annals of Ophthalmology	Ann. Ophthalmol.	Ann Ophthalmol	
Annals of Otology, Rhinology and Laryngology	Ann. Otol. Rhinol. Laryngol.	Ann Otol Rhinol Laryngol	Annals of Otology, Rhinology & Laryngology
Annals of Otology, Rhinology, and Laryngology. Supplement	Ann. Otol. Rhinol. Laryngol. Suppl.	Ann Otol Rhinol Laryngol Suppl	Annals of Otology, Rhinology, & Laryngology. Supplement
Annals of Periodontology	Ann. Periodontol.	Ann Periodontol	
Annals of Pharmacotherapy	Ann. Pharmacother.	Ann Pharmacother	
Annals of Physical Medicine	Ann. Phys. Med.	Ann Phys Med	
Annals of Physiological Anthropology	Ann. Physiol. Anthropol.	Ann Physiol Anthropol	
Annals of Plastic Surgery	Ann. Plast. Surg.	Ann Plast Surg	
Annals of Surgery	Ann. Surg.	Ann Surg	
Annals of Surgical Oncology	Ann. Surg. Oncol.	Ann Surg Oncol	
Annals of the Academy of Medicine, Singapore	Ann. Acad. Med. Singapore	Ann Acad Med Singapore	
Annals of the American Academy of Political and Social Science	Ann. Am. Acad. Pol. Soc. Sci.	Ann Am Acad Pol Soc Sci	Annals of the American Academy of Political & Social Science
Annals of the Australian College of Dental Surgeons	Ann. Aust. Coll. Dent. Surg.	Ann Aust Coll Dent Surg	
Annals of the Entomological Society of America	Ann. Entomol. Soc. Am.	Ann Entomol Soc Am	
Annals of the ICRP	Ann. ICRP	Ann ICRP	
Annals of the Medical Section of the Polish Academy of Sciences	Ann. Med. Sect. Pol. Acad. Sci.	Ann Med Sect Pol Acad Sci	
Annals of the Medical University, Bialystok, Poland	Ann. Med. Univ. Bialyst. Pol.	Ann Med Univ Bialyst Pol	
Annals of the New York Academy of Sciences	Ann. N. Y. Acad. Sci.	Ann N Y Acad Sci	
Annals of the Rheumatic Diseases	Ann. Rheum. Dis.	Ann Rheum Dis	
Annals of the Royal Australasian College of Dental Surgeons	Ann. R. Australas. Coll. Dent. Surg.	Ann R Australas Coll Dent Surg	
Annals of the Royal College of Surgeons of England	Ann. R. Coll. Surg. Engl.	Ann R Coll Surg Engl	
Annals of Thoracic and Cardiovascular Surgery	Ann. Thorac. Cardiovasc. Surg.	Ann Thorac Cardiovasc Surg	Annals of Thoracic & Cardiovascular Surgery
Annals of Thoracic Surgery	Ann. Thorac. Surg.	Ann Thorac Surg	
Annals of Transplantation	Ann. Transplant.	Ann Transplant	
Annals of Tropical Medicine and Parasitology	Ann. Trop. Med. Parasitol.	Ann Trop Med Parasitol	Annals of Tropical Medicine & Parasitology
Annals of Tropical Paediatrics	Ann. Trop. Paediatr.	Ann Trop Paediatr	
Annals of Vascular Surgery	Ann. Vasc. Surg.	Ann Vasc Surg	
Annee Biologique	Annee Biol.	Annee Biol	
Annee Endocrinologique	Annee Endocrinol.	Annee Endocrinol	
Annee Psychologique	Annee Psychol.	Annee Psychol	
Annee Therapeutique et Clinique En Ophtalmologie	Annee Ther. Clin. Ophtalmol.	Annee Ther Clin Ophtalmol	
Annual Conference on Research in Medical Education	Annu. Conf. Res. Med. Educ.	Annu Conf Res Med Educ	
Annual Meeting - American Institute of Oral Biology	Annu. Meet. Am. Inst. Oral Biol.	Annu Meet Am Inst Oral Biol	
Annual Report of the Research Institute of Environmental Medicine, Nagoya University	Annu. Rep. Res. Inst. Environ. Med. Nagoya Univ.	Annu Rep Res Inst Environ Med Nagoya Univ	
Annual Review of Biochemistry	Annu. Rev. Biochem.	Annu Rev Biochem	
Annual Review of Biophysics and Bioengineering	Annu. Rev. Biophys. Bioeng.	Annu Rev Biophys Bioeng	Annual Review of Biophysics & Bioengineering
Annual Review of Biophysics and Biomolecular Structure	Annu. Rev. Biophys. Biomol. Struct.	Annu Rev Biophys Biomol Struct	Annual Review of Biophysics & Biomolecular Structure
Annual Review of Biophysics and Biophysical Chemistry	Annu. Rev. Biophys. Biophys. Chem.	Annu Rev Biophys Biophys Chem	Annual Review of Biophysics & Biophysical Chemistry
Annual Review of Cell and Developmental Biology	Annu. Rev. Cell Dev. Biol.	Annu Rev Cell Dev Biol	Annual Review of Cell & Developmental Biology
Annual Review of Cell Biology	Annu. Rev. Cell Biol.	Annu Rev Cell Biol	
Annual Review of Entomology	Annu. Rev. Entomol.	Annu Rev Entomol	
Annual Review of Genetics	Annu. Rev. Genet.	Annu Rev Genet	
Annual Review of Gerontology and Geriatrics	Annu. Rev. Gerontol. Geriatr.	Annu Rev Gerontol Geriatr	Annual Review of Gerontology & Geriatrics
Annual Review of Immunology	Annu. Rev. Immunol.	Annu Rev Immunol	
Annual Review of Medicine	Annu. Rev. Med.	Annu Rev Med	
Annual Review of Microbiology	Annu. Rev. Microbiol.	Annu Rev Microbiol	
Annual Review of Neuroscience	Annu. Rev. Neurosci.	Annu Rev Neurosci	
Annual Review of Nuclear Science	Annu. Rev. Nucl. Sci.	Annu Rev Nucl Sci	
Annual Review of Nursing Research	Annu. Rev. Nurs. Res.	Annu Rev Nurs Res	
Annual Review of Nutrition	Annu. Rev. Nutr.	Annu Rev Nutr	
Annual Review of Pharmacology	Annu. Rev. Pharmacol.	Annu Rev Pharmacol	
Annual Review of Pharmacology and Toxicology	Annu. Rev. Pharmacol. Toxicol.	Annu Rev Pharmacol Toxicol	Annual Review of Pharmacology & Toxicology
Annual Review of Physical Chemistry	Annu. Rev. Phys. Chem.	Annu Rev Phys Chem	
Annual Review of Physiology	Annu. Rev. Physiol.	Annu Rev Physiol	
Annual Review of Psychology	Annu. Rev. Psychol.	Annu Rev Psychol	
Annual Review of Public Health	Annu. Rev. Public Health	Annu Rev Public Health	
Annual Review of Rehabilitation	Annu. Rev. Rehabil.	Annu Rev Rehabil	
Annual Review of Sex Research	Annu. Rev. Sex Res.	Annu Rev Sex Res	
Annual Statistical Supplement, ... To the Social Security Bulletin	Annu. Stat. Suppl. Soc. Secur. Bull.	Annu Stat Suppl Soc Secur Bull	
Annual Symposium on Nursing Faculty Practice	Annu. Symp. Nurs. Fac. Pract.	Annu Symp Nurs Fac Pract	
ANPHI Papers	ANPHI Pap.	ANPHI Pap	
ANS. Advances in Nursing Science	ANS. Adv. Nurs. Sci.	ANS Adv Nurs Sci	
Anthropologischer Anzeiger	Anthropol. Anz.	Anthropol Anz	
Anti-Cancer Drug Design	Anticancer. Drug Des.	Anticancer Drug Des	
Anti-Cancer Drugs	Anticancer. Drugs	Anticancer Drugs	
Antibiotica	Antibiotica	Antibiotica	
Antibiotica. Quaderni	Antibiotica. [Quad].	Antibiotica [Quad]	
Antibiotics and Chemotherapy	Antibiot. Chemother.	Antibiot Chemother	Antibiotics & Chemotherapy
Antibiotiki	Antibiotiki	Antibiotiki	
Antibiotiki i Khimioterapiia	Antibiot. Khimioter.	Antibiot Khimioter	
Antibiotiki i Meditsinskaia Biotekhnologiia	Antibiot. Med. Biotekhnol.	Antibiot Med Biotekhnol	
Anticancer Research	Anticancer Res.	Anticancer Res	
Antimicrobial Agents and Chemotherapy	Antimicrob. Agents Chemother.	Antimicrob Agents Chemother	Antimicrobial Agents & Chemotherapy
Antioquia Medica	Antioquia Med.	Antioquia Med	
Antisense and Nucleic Acid Drug Development	Antisense Nucleic Acid Drug Dev.	Antisense Nucleic Acid Drug Dev	Antisense & Nucleic Acid Drug Development
Antisense Research and Development	Antisense Res. Dev.	Antisense Res Dev	Antisense Research & Development
Antiviral Chemistry and Chemotherapy	Antivir. Chem. Chemother.	Antivir Chem Chemother	Antiviral Chemistry & Chemotherapy
Antiviral Research	Antiviral Res.	Antiviral Res	
Antonie Van Leeuwenhoek	Antonie Van Leeuwenhoek	Antonie Van Leeuwenhoek	
Anuario Brasileiro de Odontologia	Anu. Bras. Odontol.	Anu Bras Odontol	
Anxiety	Anxiety	Anxiety	
AOHA	AOHA	AOHA	
AOHA Progress	AOHA Prog.	AOHA Prog	
AOHA Today	AOHA Today	AOHA Today	
AORN Journal	AORN J.	AORN J	
Apex	Apex	Apex	
APIC	APIC	APIC	
APMIS	APMIS	APMIS	
APMIS. Supplementum	APMIS. Suppl.	APMIS Suppl	
Apollonia	Apollonia (Sydney).	Apollonia (Sydney)	
Appetite	Appetite	Appetite	
Applied and Environmental Microbiology	Appl. Environ. Microbiol.	Appl Environ Microbiol	Applied & Environmental Microbiology
Applied and Theoretical Electrophoresis	Appl. Theor. Electrophor.	Appl Theor Electrophor	Applied & Theoretical Electrophoresis
Applied Biochemistry and Biotechnology	Appl. Biochem. Biotechnol.	Appl Biochem Biotechnol	Applied Biochemistry & Biotechnology
Applied Cardiology	Appl. Cardiol.	Appl Cardiol	
Applied Cardiopulmonary Pathophysiology	Appl. Cardiopulm. Pathophysiol.	Appl Cardiopulm Pathophysiol	
Applied Ergonomics	Appl. Ergon.	Appl Ergon	
Applied Human Science	Appl. Human Sci.	Appl Human Sci	
Applied Microbiology	Appl. Microbiol.	Appl Microbiol	
Applied Microbiology and Biotechnology	Appl. Microbiol. Biotechnol.	Appl Microbiol Biotechnol	Applied Microbiology & Biotechnology
Applied Neurophysiology	Appl. Neurophysiol.	Appl Neurophysiol	
Applied Nursing Research	Appl. Nurs. Res.	Appl Nurs Res	
Applied Parasitology	Appl. Parasitol.	Appl Parasitol	
Applied Pathology	Appl. Pathol.	Appl Pathol	
Applied Psychophysiology and Biofeedback	Appl. Psychophysiol. Biofeedback	Appl Psychophysiol Biofeedback	Applied Psychophysiology & Biofeedback
Applied Radiation and Isotopes	Appl. Radiat. Isot.	Appl Radiat Isot	Applied Radiation & Isotopes
Applied Radiology	Appl. Radiol.	Appl Radiol	
Applied Research in Mental Retardation	Appl. Res. Ment. Retard.	Appl Res Ment Retard	
Applied Therapeutics	Appl. Ther.	Appl Ther	
Aptechnoe Delo	Aptechn. Delo	Aptechn Delo	
Arbeiten Aus dem Paul-Ehrlich-Institut (Bundesamt fur Sera und Impfstoffe) Zu Frankfurt A.M.	Arb. Paul. Ehrlich. Inst. Bundesamt Sera Impfstoffe. Frankf. A. M.	Arb Paul Ehrlich Inst Bundesamt Sera Impfstoffe Frankf A M	
Arbeiten Aus dem Paul-Ehrlich-Institut, dem Georg-Speyer-Haus und dem Ferdinand-Blum-Institut Zu Frankfurt A.M.	Arb. Paul. Ehrlich. Inst. Georg. Speyer. Haus Ferdinand. Blum. Inst. Frankf. A. M.	Arb Paul Ehrlich Inst Georg Speyer Haus Ferdinand Blum Inst Frankf A M	
Arch Belg Med Soc	Arch Belg Med Soc	Arch Belg Med Soc	
Architectural Record	Archit. Rec.	Archit Rec	
Architecture	Architecture	Architecture	
Archiv der Julius Klaus-Stiftung fur Vererbungsforschung, Sozialanthropologie und Rassenhygiene	Arch. Julius Klaus. Stift. Vererbungsforsch. Sozialanthropol. Rassenhyg.	Arch Julius Klaus Stift Vererbungsforsch Sozialanthropol Rassenhyg	
Archiv der Pharmazie	Arch. Pharm. (Weinheim).	Arch Pharm (Weinheim)	
Archiv der Pharmazie und Berichte der Deutschen Pharmazeutischen Gesellschaft	Arch. Pharm. Ber. Dtsch. Pharm. Ges.	Arch Pharm Ber Dtsch Pharm Ges	
Archiv fur Dermatologische Forschung	Arch. Dermatol. Forsch.	Arch Dermatol Forsch	
Archiv fur Die Gesamte Psychologie	Arch. Gesamte Psychol.	Arch Gesamte Psychol	
Archiv fur Die Gesamte Virusforschung	Arch. Gesamte Virusforsch.	Arch Gesamte Virusforsch	
Archiv fur Experimentelle Veterinarmedizin	Arch. Exp. Veterinarmed.	Arch Exp Veterinarmed	
Archiv fur Genetik	Arch. Genet. (Zur).	Arch Genet (Zur)	
Archiv fur Geschwulstforschung	Arch. Geschwulstforsch.	Arch Geschwulstforsch	
Archiv fur Gynakologie	Arch. Gynakol.	Arch Gynakol	
Archiv fur Hygiene und Bakteriologie	Arch. Hyg. Bakteriol.	Arch Hyg Bakteriol	
Archiv fur Kinderheilkunde	Arch. Kinderheilkd.	Arch Kinderheilkd	
Archiv fur Klinische Medizin	Arch. Klin. Med.	Arch Klin Med	
Archiv fur Klinische und Experimentelle Dermatologie	Arch. Klin. Exp. Dermatol.	Arch Klin Exp Dermatol	
Archiv fur Klinische und Experimentelle Ohren-, Nasen- und Kehlkopfheilkunde	Arch. Klin. Exp. Ohren. Nasen. Kehlkopfheilkd.	Arch Klin Exp Ohren Nasen Kehlkopfheilkd	
Archiv fur Kreislaufforschung	Arch. Kreislaufforsch.	Arch Kreislaufforsch	
Archiv fur Kriminologie	Arch. Kriminol.	Arch Kriminol	
Archiv fur Mikrobiologie	Arch. Mikrobiol.	Arch Mikrobiol	
Archiv fur Ohren-, Nasen- und Kehlkopfheilkunde, Vereinigt mit Zeitschrift fur Hals-, Nasen- und Ohrenheilkunde	Arch. Ohren. Nasen. Kehlkopfheilkd.	Arch Ohren Nasen Kehlkopfheilkd	
Archiv fur Orthopadische und Unfall-Chirurgie	Arch. Orthop. Unfallchir.	Arch Orthop Unfallchir	
Archiv fur Physikalische Therapie	Arch. Phys. Ther. (Leipz).	Arch Phys Ther (Leipz)	
Archiv fur Psychiatrie und Nervenkrankheiten	Arch. Psychiatr. Nervenkr.	Arch Psychiatr Nervenkr	
Archiv fur Psychologie	Arch. Psychol. (Frankf).	Arch Psychol (Frankf)	
Archiv fur Tierernahrung	Arch. Tierernahr.	Arch Tierernahr	
Archiv fur Toxikologie	Arch. Toxikol.	Arch Toxikol	
Archives Belges	Arch. Belg.	Arch Belg	
Archives Belges de Dermatologie	Arch. Belg. Dermatol.	Arch Belg Dermatol	
Archives Belges de Dermatologie et de Syphiligraphie	Arch. Belg. Dermatol. Syphiligr.	Arch Belg Dermatol Syphiligr	
Archives d Anatomie, d Histologie et d Embryologie	Arch. Anat. Histol. Embryol.	Arch Anat Histol Embryol	
Archives d Anatomie et de Cytologie Pathologiques	Arch. Anat. Cytol. Pathol.	Arch Anat Cytol Pathol	
Archives d Anatomie Microscopique et de Morphologie Experimentale	Arch. Anat. Microsc. Morphol. Exp.	Arch Anat Microsc Morphol Exp	
Archives d Anatomie Pathologique	Arch. Anat. Pathol. (Paris).	Arch Anat Pathol (Paris)	
Archives d Ophtalmologie	Arch. Ophtalmol. (Paris).	Arch Ophtalmol (Paris)	
Archives d Ophtalmologie et Revue Generale d Ophtalmologie	Arch. Ophtalmol. Rev. Gen. Ophtalmol.	Arch Ophtalmol Rev Gen Ophtalmol	
Archives de Biologie	Arch. Biol. (Liege).	Arch Biol (Liege)	
Archives de l Institut Pasteur d Algerie	Arch. Inst. Pasteur Alger.	Arch Inst Pasteur Alger	
Archives de l Institut Pasteur de Madagascar	Arch. Inst. Pasteur Madagascar	Arch Inst Pasteur Madagascar	
Archives de l Institut Pasteur de Tunis	Arch. Inst. Pasteur Tunis	Arch Inst Pasteur Tunis	
Archives de Medecine Generale et Tropicale	Arch. Med. Gen. Trop.	Arch Med Gen Trop	
Archives de Pediatrie	Arch. Pediatr.	Arch Pediatr	
Archives des Maladies de l Appareil Digestif et des Maladies de la Nutrition	Arch. Mal. Appar. Dig. Mal. Nutr.	Arch Mal Appar Dig Mal Nutr	
Archives des Maladies du Coeur et des Vaisseaux	Arch. Mal. Coeur Vaiss.	Arch Mal Coeur Vaiss	
Archives des Maladies Professionnelles de Medecine du Travail et de Securite Sociale	Arch. Mal. Prof.	Arch Mal Prof	
Archives des Sciences Physiologiques	Arch. Sci. Physiol. (Paris).	Arch Sci Physiol (Paris)	
Archives for Dermatological Research. Archiv fur Dermatologische Forschung	Arch. Dermatol. Res.	Arch Dermatol Res	
Archives Francaises de Pediatrie	Arch. Fr. Pediatr.	Arch Fr Pediatr	
Archives Francaises des Maladies de l Appareil Digestif	Arch. Fr. Mal. App. Dig.	Arch Fr Mal App Dig	
Archives Internationales de Pharmacodynamie et de Therapie	Arch. Int. Pharmacodyn. Ther.	Arch Int Pharmacodyn Ther	
Archives Internationales de Physiologie, de Biochimie et de Biophysique	Arch. Int. Physiol. Biochim. Biophys.	Arch Int Physiol Biochim Biophys	
Archives Internationales de Physiologie et de Biochimie	Arch. Int. Physiol. Biochim.	Arch Int Physiol Biochim	
Archives Italiennes de Biologie	Arch. Ital. Biol.	Arch Ital Biol	
Archives Mediterraneennes de Medecine	Arch. Mediterr. Med.	Arch Mediterr Med	
Archives of Andrology	Arch. Androl.	Arch Androl	Archives of &rology
Archives of Biochemistry and Biophysics	Arch. Biochem. Biophys.	Arch Biochem Biophys	Archives of Biochemistry & Biophysics
Archives of Dermatological Research	Arch. Dermatol. Res.	Arch Dermatol Res	
Archives of Dermatology	Arch. Dermatol.	Arch Dermatol	
Archives of Disease in Childhood	Arch. Dis. Child.	Arch Dis Child	
Archives of Disease in Childhood. Fetal and Neonatal Edition	Arch. Dis. Child. Fetal Neonatal Ed.	Arch Dis Child Fetal Neonatal Ed	Archives of Disease in Childhood. Fetal & Neonatal Edition
Archives of Emergency Medicine	Arch. Emerg. Med.	Arch Emerg Med	
Archives of Environmental Contamination and Toxicology	Arch. Environ. Contam. Toxicol.	Arch Environ Contam Toxicol	Archives of Environmental Contamination & Toxicology
Archives of Environmental Health	Arch. Environ. Health	Arch Environ Health	
Archives of Family Medicine	Arch. Fam. Med.	Arch Fam Med	
Archives of General Psychiatry	Arch. Gen. Psychiatry	Arch Gen Psychiatry	
Archives of Gerontology and Geriatrics	Arch. Gerontol. Geriatr.	Arch Gerontol Geriatr	Archives of Gerontology & Geriatrics
Archives of Gerontology and Geriatrics. Supplement	Arch. Gerontol. Geriatr. Suppl.	Arch Gerontol Geriatr Suppl	Archives of Gerontology & Geriatrics. Supplement
Archives of Gynecology	Arch. Gynecol.	Arch Gynecol	
Archives of Gynecology and Obstetrics	Arch. Gynecol. Obstet.	Arch Gynecol Obstet	Archives of Gynecology & Obstetrics
Archives of Histology and Cytology	Arch. Histol. Cytol.	Arch Histol Cytol	Archives of Histology & Cytology
Archives of Insect Biochemistry and Physiology	Arch. Insect Biochem. Physiol.	Arch Insect Biochem Physiol	Archives of Insect Biochemistry & Physiology
Archives of Interamerican Rheumatology	Arch. Interam. Rheumatol.	Arch Interam Rheumatol	
Archives of Internal Medicine	Arch. Intern. Med.	Arch Intern Med	
Archives of Medical Research	Arch. Med. Res.	Arch Med Res	
Archives of Microbiology	Arch. Microbiol.	Arch Microbiol	
Archives of Neurology	Arch. Neurol.	Arch Neurol	
Archives of Ophthalmology	Arch. Ophthalmol.	Arch Ophthalmol	
Archives of Oral Biology	Arch. Oral Biol.	Arch Oral Biol	
Archives of Orthopaedic and Trauma Surgery	Arch. Orthop. Trauma Surg.	Arch Orthop Trauma Surg	Archives of Orthopaedic & Trauma Surgery
Archives of Orthopaedic and Traumatic Surgery	Arch. Orthop. Trauma. Surg.	Arch Orthop Trauma Surg	Archives of Orthopaedic & Traumatic Surgery
Archives of Oto-Rhino-Laryngology	Arch. Otorhinolaryngol.	Arch Otorhinolaryngol	
Archives of Oto-Rhino-Laryngology. Supplement	Arch. Otorhinolaryngol. Suppl.	Arch Otorhinolaryngol Suppl	
Archives of Otolaryngology	Arch. Otolaryngol.	Arch Otolaryngol	
Archives of Otolaryngology -- Head and Neck Surgery	Arch. Otolaryngol. Head Neck Surg.	Arch Otolaryngol Head Neck Surg	Archives of Otolaryngology -- Head & Neck Surgery
Archives of Pathology	Arch. Pathol.	Arch Pathol	
Archives of Pathology and Laboratory Medicine	Arch. Pathol. Lab. Med.	Arch Pathol Lab Med	Archives of Pathology & Laboratory Medicine
Archives of Pediatrics and Adolescent Medicine	Arch. Pediatr. Adolesc. Med.	Arch Pediatr Adolesc Med	Archives of Pediatrics & Adolescent Medicine
Archives of Pharmacal Research	Arch. Pharm. Res.	Arch Pharm Res	
Archives of Physical Medicine and Rehabilitation	Arch. Phys. Med. Rehabil.	Arch Phys Med Rehabil	Archives of Physical Medicine & Rehabilitation
Archives of Physiology and Biochemistry	Arch. Physiol. Biochem.	Arch Physiol Biochem	Archives of Physiology & Biochemistry
Archives of Psychiatric Nursing	Arch. Psychiatr. Nurs.	Arch Psychiatr Nurs	
Archives of Sexual Behavior	Arch. Sex. Behav.	Arch Sex Behav	
Archives of Surgery	Arch. Surg.	Arch Surg	
Archives of Toxicology	Arch. Toxicol.	Arch Toxicol	
Archives of Toxicology. Supplement. Archiv fur Toxikologie. Supplement	Arch. Toxicol. Suppl.	Arch Toxicol Suppl	
Archives of Virology	Arch. Virol.	Arch Virol	
Archives of Virology. Supplementum	Arch. Virol. Suppl.	Arch Virol Suppl	
Archives Roumaines de Pathologie Experimentales et de Microbiologie	Arch. Roum. Pathol. Exp. Microbiol.	Arch Roum Pathol Exp Microbiol	
Archivii Italiani di Laringologia	Arch. Ital. Laringol.	Arch Ital Laringol	
Archivio de Vecchi Per l Anatomia Patologica e la Medicina Clinica	Arch. De. Vecchi Anat. Patol.	Arch De Vecchi Anat Patol	
Archivio di Chirurgia Toracica e Cardiovascolare	Arch. Chir. Torac. Cardiovasc.	Arch Chir Torac Cardiovasc	
Archivio di Fisiologia	Arch. Fisiol.	Arch Fisiol	
Archivio di Medicina Interna	Arch. Med. Interna	Arch Med Interna	
Archivio di Ortopedia	Arch. Ortop.	Arch Ortop	
Archivio di Ostetricia e Ginecologia	Arch. Ostet. Ginecol.	Arch Ostet Ginecol	
Archivio di Patologia e Clinica Medica	Arch. Patol. Clin. Med.	Arch Patol Clin Med	
Archivio di Psicologia, Neurologia e Psichiatria	Arch. Psicol. Neurol. Psichiatr.	Arch Psicol Neurol Psichiatr	
Archivio di Scienze Biologiche	Arch. Sci. Biol. (Bologna).	Arch Sci Biol (Bologna)	
Archivio di Tisiologia e delle Malattie dell Apparato Respiratorio	Arch. Tisiol. Mal. Appar. Respir.	Arch Tisiol Mal Appar Respir	
Archivio e Maragliano di Patologia e Clinica	Arch. Maragliano Patol. Clin.	Arch Maragliano Patol Clin	
Archivio Italiano delle Malattie dell Apparato Digerente	Arch. Ital. Mal. Appar. Dig.	Arch Ital Mal Appar Dig	
Archivio Italiano di Anatomia e di Embriologia	Arch. Ital. Anat. Embriol.	Arch Ital Anat Embriol	
Archivio Italiano di Anatomia e Istologia Patologica	Arch. Ital. Anat. Istol. Patol.	Arch Ital Anat Istol Patol	
Archivio Italiano di Chirurgia	Arch. Ital. Chir.	Arch Ital Chir	
Archivio Italiano di Dermatologia, Venereologia, e Sessuologia	Arch. Ital. Dermatol. Venereol. Sessuol.	Arch Ital Dermatol Venereol Sessuol	
Archivio Italiano di Otologia, Rinologia e Laringologia	Arch. Ital. Otol. Rinol. Laringol.	Arch Ital Otol Rinol Laringol	
Archivio Italiano di Otologia, Rinologia e Laringologia. Supplemento	Arch. Ital. Otol. Rinol. Laringol. Suppl.	Arch Ital Otol Rinol Laringol Suppl	
Archivio Italiano di Otologia, Rinologia, Laringologia e Patologia Cervico-Facciale	Arch. Ital. Otol. Rinol. Laringol. Patol. Cervicofacc.	Arch Ital Otol Rinol Laringol Patol Cervicofacc	
Archivio Italiano di Otologia, Rinologia, Laringologia e Patologia Cervico-Facciale. Supplemento	Arch. Ital. Otol. Rinol. Laringol. Patol. Cervicofacc. Suppl.	Arch Ital Otol Rinol Laringol Patol Cervicofacc Suppl	
Archivio Italiano di Patologia e Clinica dei Tumori	Arch. Ital. Patol. Clin. Tumori	Arch Ital Patol Clin Tumori	
Archivio Italiano di Pediatria e Puericoltura	Arch. Ital. Pediatr. Pueric.	Arch Ital Pediatr Pueric	
Archivio Italiano di Scienze Farmacologiche	Arch. Ital. Sci. Farmacol.	Arch Ital Sci Farmacol	
Archivio Italiano di Scienze Mediche Tropicali e di Parassitologia	Arch. Ital. Sci. Med. Trop. Parassitol.	Arch Ital Sci Med Trop Parassitol	
Archivio Italiano di Urologia	Arch. Ital. Urol.	Arch Ital Urol	
Archivio Italiano di Urologia, Andrologia	Arch. Ital. Urol. Androl.	Arch Ital Urol Androl	Archivio Italiano di Urologia, &rologia
Archivio Italiano di Urologia e Nefrologia	Arch. Ital. Urol. Nefrol.	Arch Ital Urol Nefrol	
Archivio Italiano di Urologia, Nefrologia, Andrologia	Arch. Ital. Urol. Nefrol. Androl.	Arch Ital Urol Nefrol Androl	Archivio Italiano di Urologia, Nefrologia, &rologia
Archivio Monaldi Per la Tisiologia e le Malattie dell Apparato Respiratorio	Arch. Monaldi	Arch Monaldi	
Archivio Monaldi Per le Malattie del Torace	Arch. Monaldi Mal. Torace	Arch Monaldi Mal Torace	
Archivio Per le Scienze Mediche	Arch. Sci. Med. (Torino).	Arch Sci Med (Torino)	
