Administrative Law Review	Admin. L. Rev.
University of Cincinnati Law Review	U. Cin. L. Rev.
University of Colorado Law Review	U. Colo. L. Rev.
University of Dayton Law Review	U. Dayton L. Rev.
University of Denver Water Law Review	U. Denv. Water L. Rev.
University of Detroit Mercy Law Review	U. Det. Mercy L. Rev.
University of Florida Journal of Law and Public Policy	U. Fla. J.L. & Pub. Pol'y
University of Hawaii Law Review	U. Haw. L. Rev.
University of Illinois Journal of Law, Technology & Policy	U. Ill. J.L. Tech. & Pol'y
University of Illinois Law Review	U. Ill. L. Rev.
University of Kansas Law Review	U. Kan. L. Rev.
University of Maryland Law Journal of Race, Religion, Gender and Class	U. Md. L.J. Race Relig. Gender & Class
University of Memphis Law Review	U. Mem. L. Rev.
University of Miami Business Law Review	U. Miami Bus. L. Rev.
University of Miami Entertainment & Sports Law Review	U. Miami Ent. & Sports L. Rev.
University of Miami Inter-American Law Review	U. Miami Inter-Am. L. Rev.
University of Miami Law Review	U. Miami L. Rev.
University of Michigan Journal of Law Reform	U. Mich. J.L. Reform
University of Pennsylvania Journal of Constitutional Law	U. Pa. J. Const. L.
University of Pennsylvania Journal of International Economic Law	U. Pa. J. Int'l Econ. L.
University of Pennsylvania Journal of Labor and Employment Law	U. Pa. J. Lab. & Emp. L.
University of Pennsylvania Law Review	U. Pa. L. Rev.
University of Pittsburgh Law Review	U. Pitt. L. Rev.
University of Richmond Law Review	U. Rich. L. Rev.
University of San Francisco Journal of Law & Social Challenges	U.S.F. J.L. & Soc. Challenges
University of San Francisco Law Review	U.S.F.L. Rev.
University of San Francisco Maritime Law Journal	U.S.F. Mar. L.J.
University of St. Thomas Law Journal	U. St. Thomas L.J.
University of the District of Columbia Law Review	U.D.C. L. Rev.
University of Toledo Law Review	U. Tol. L. Rev.
Urban Lawyer	Urb. Law.
Utah Law Review	Utah L. Rev.
Valparaiso University Law Review	Val. U. L. Rev.
Vanderbilt Journal of Entertainment & Technology Law	Vand. J. Ent. & Tech. L.
Vanderbilt Journal of Transnational Law	Vand. J. Transnat'l L.
Vanderbilt Law Review	Vand. L. Rev.
Vermont Law Review	Vt. L. Rev.
Villanova Environmental Law Journal	Vill. Envtl. L.J.
Villanova Journal of Law and Investment Management	Vill. J.L. & Investment Mgmt.
Villanova Law Review	Vill. L. Rev.
Villanova Sports & Entertainment Law Journal	Vill. Sports & Ent. L.J.
Virginia Environmental Law Journal	Va. Envtl. L.J.
Virginia Journal of International Law	Va. J. Int'l L.
Virginia Journal of Social Policy & the Law	Va. J. Soc. Pol'y & L.
Virginia Journal of Sports and the Law	Va. J. Sports & L.
Virginia Law Review	Va. L. Rev.
Virginia Tax Review	Va. Tax Rev.
Wake Forest Law Review	Wake Forest L. Rev.
Washburn Law Journal	Washburn L.J.
Washington and Lee Law Review	Wash. & Lee L. Rev.
Washington and Lee Race and Ethnic Ancestry Law Journal	Wash. & Lee Race & Ethic Anc. L.J.
Washington Law Review	Wash. L. Rev.
Washington University Global Studies Law Review	Wash. U. Global Stud. L. Rev.
Washington University Journal of Law & Policy	Wash. U. J.L. & Pol'y
Washington University Law Quarterly	Wash. U. L.Q.
Wayne Law Review	Wayne L. Rev.
West Virginia Law Review	W. Va. L. Rev.
Western New England Law Review	W. New Eng. L. Rev.
Western State University Law Review	W. St. U. L. Rev.
Whittier Journal of Child and Family Advocacy	Whittier J. Child & Fam. Advoc.
Whittier Law Review	Whittier L. Rev.
Widener Law Journal	Widener L.J.
Widener Law Review	Widener L. Review
Willamette Journal of International Law and Dispute Resolution	Willamette J. Int'l L. & Disp. Resol.
Willamette Law Review	Willamette L. Rev.
William and Mary Bill of Rights Journal	Wm. & Mary Bill of Rts. J.
William and Mary Environmental Law and Policy Review	Wm. & Mary Envtl. L. & Pol'y Rev.
William and Mary Journal of Women and the Law	Wm. & Mary J. Women & L.
William and Mary Law Review	Wm. & Mary L. Rev.
William Mitchell Law Review	Wm. Mitchell L. Rev.
Wisconsin International Law Journal	Wis. Int'l L.J.
Wisconsin Law Review	Wis. L. Rev.
Wisconsin Women's Law Journal	Wis. Women's L.J.
Women's Rights Law Reporter	Women's Rts. L. Rep.
Wyoming Law Review	Wyoming L. Rev.
Yale Human Rights & Development Law Journal	Yale Hum. Rts. & Dev. L.J.
Yale Journal of Health, Policy, Law, and Ethics	Yale J. Health Pol'y L. & Ethics
Yale Journal of International Law	Yale J. Int'l L.
Yale Journal of Law and Feminism	Yale J.L. & Feminism
Yale Journal of Law & the Humanities	Yale J.L. & Human.
Yale Journal on Regulation	Yale J. on Reg.
Yale Law & Policy Review	Yale L. & Pol'y Rev.
Yale Law Journal	Yale L.J.
